dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,time,susceptibles,infected,recovered,dead
14/03/2020,14,3,2020,14,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,20,905,80,0,15
15/03/2020,15,3,2020,15,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,21,890,93,0,17
16/03/2020,16,3,2020,18,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,22,872,108,0,20
17/03/2020,17,3,2020,20,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,23,852,125,0,23
18/03/2020,18,3,2020,23,5,SID_ODE_N1000,XX,XXX,1000,Artificialia,24,829,143,0,28
19/03/2020,19,3,2020,25,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,25,804,164,0,32
20/03/2020,20,3,2020,27,5,SID_ODE_N1000,XX,XXX,1000,Artificialia,26,777,186,0,37
21/03/2020,21,3,2020,31,7,SID_ODE_N1000,XX,XXX,1000,Artificialia,27,746,210,0,44
22/03/2020,22,3,2020,32,6,SID_ODE_N1000,XX,XXX,1000,Artificialia,28,714,236,0,50
23/03/2020,23,3,2020,35,7,SID_ODE_N1000,XX,XXX,1000,Artificialia,29,679,264,0,57
24/03/2020,24,3,2020,37,9,SID_ODE_N1000,XX,XXX,1000,Artificialia,30,642,292,0,66
25/03/2020,25,3,2020,38,9,SID_ODE_N1000,XX,XXX,1000,Artificialia,31,604,321,0,75
26/03/2020,26,3,2020,39,10,SID_ODE_N1000,XX,XXX,1000,Artificialia,32,565,350,0,85
27/03/2020,27,3,2020,40,11,SID_ODE_N1000,XX,XXX,1000,Artificialia,33,525,379,0,96
28/03/2020,28,3,2020,39,12,SID_ODE_N1000,XX,XXX,1000,Artificialia,34,486,406,0,108
29/03/2020,29,3,2020,39,12,SID_ODE_N1000,XX,XXX,1000,Artificialia,35,447,433,0,120
30/03/2020,30,3,2020,38,13,SID_ODE_N1000,XX,XXX,1000,Artificialia,36,409,458,0,133
31/03/2020,31,3,2020,37,15,SID_ODE_N1000,XX,XXX,1000,Artificialia,37,372,480,0,148
01/04/2020,1,4,2020,35,14,SID_ODE_N1000,XX,XXX,1000,Artificialia,38,337,501,0,162
02/04/2020,2,4,2020,33,16,SID_ODE_N1000,XX,XXX,1000,Artificialia,39,304,518,0,178
03/04/2020,3,4,2020,30,16,SID_ODE_N1000,XX,XXX,1000,Artificialia,40,274,532,0,194
04/04/2020,4,4,2020,28,16,SID_ODE_N1000,XX,XXX,1000,Artificialia,41,246,544,0,210
05/04/2020,5,4,2020,26,17,SID_ODE_N1000,XX,XXX,1000,Artificialia,42,220,553,0,227
06/04/2020,6,4,2020,23,16,SID_ODE_N1000,XX,XXX,1000,Artificialia,43,197,560,0,243
07/04/2020,7,4,2020,21,17,SID_ODE_N1000,XX,XXX,1000,Artificialia,44,176,564,0,260
08/04/2020,8,4,2020,19,17,SID_ODE_N1000,XX,XXX,1000,Artificialia,45,157,566,0,277
09/04/2020,9,4,2020,17,17,SID_ODE_N1000,XX,XXX,1000,Artificialia,46,140,566,0,294
10/04/2020,10,4,2020,15,17,SID_ODE_N1000,XX,XXX,1000,Artificialia,47,125,564,0,311
11/04/2020,11,4,2020,14,17,SID_ODE_N1000,XX,XXX,1000,Artificialia,48,111,561,0,328
12/04/2020,12,4,2020,11,16,SID_ODE_N1000,XX,XXX,1000,Artificialia,49,100,556,0,344
13/04/2020,13,4,2020,11,17,SID_ODE_N1000,XX,XXX,1000,Artificialia,50,89,550,0,361
14/04/2020,14,4,2020,9,16,SID_ODE_N1000,XX,XXX,1000,Artificialia,51,80,543,0,377
15/04/2020,15,4,2020,8,16,SID_ODE_N1000,XX,XXX,1000,Artificialia,52,72,535,0,393
16/04/2020,16,4,2020,8,17,SID_ODE_N1000,XX,XXX,1000,Artificialia,53,64,526,0,410
17/04/2020,17,4,2020,6,15,SID_ODE_N1000,XX,XXX,1000,Artificialia,54,58,517,0,425
18/04/2020,18,4,2020,6,16,SID_ODE_N1000,XX,XXX,1000,Artificialia,55,52,507,0,441
19/04/2020,19,4,2020,5,15,SID_ODE_N1000,XX,XXX,1000,Artificialia,56,47,497,0,456
20/04/2020,20,4,2020,4,14,SID_ODE_N1000,XX,XXX,1000,Artificialia,57,43,487,0,470
21/04/2020,21,4,2020,4,15,SID_ODE_N1000,XX,XXX,1000,Artificialia,58,39,476,0,485
22/04/2020,22,4,2020,4,14,SID_ODE_N1000,XX,XXX,1000,Artificialia,59,35,466,0,499
23/04/2020,23,4,2020,3,14,SID_ODE_N1000,XX,XXX,1000,Artificialia,60,32,455,0,513
24/04/2020,24,4,2020,3,14,SID_ODE_N1000,XX,XXX,1000,Artificialia,61,29,444,0,527
25/04/2020,25,4,2020,2,12,SID_ODE_N1000,XX,XXX,1000,Artificialia,62,27,434,0,539
26/04/2020,26,4,2020,2,13,SID_ODE_N1000,XX,XXX,1000,Artificialia,63,25,423,0,552
27/04/2020,27,4,2020,2,12,SID_ODE_N1000,XX,XXX,1000,Artificialia,64,23,413,0,564
28/04/2020,28,4,2020,2,13,SID_ODE_N1000,XX,XXX,1000,Artificialia,65,21,402,0,577
29/04/2020,29,4,2020,2,12,SID_ODE_N1000,XX,XXX,1000,Artificialia,66,19,392,0,589
30/04/2020,30,4,2020,1,11,SID_ODE_N1000,XX,XXX,1000,Artificialia,67,18,382,0,600
01/05/2020,1,5,2020,1,11,SID_ODE_N1000,XX,XXX,1000,Artificialia,68,17,372,0,611
02/05/2020,2,5,2020,2,12,SID_ODE_N1000,XX,XXX,1000,Artificialia,69,15,362,0,623
03/05/2020,3,5,2020,1,11,SID_ODE_N1000,XX,XXX,1000,Artificialia,70,14,352,0,634
04/05/2020,4,5,2020,1,10,SID_ODE_N1000,XX,XXX,1000,Artificialia,71,13,343,0,644
05/05/2020,5,5,2020,0,10,SID_ODE_N1000,XX,XXX,1000,Artificialia,72,13,333,0,654
06/05/2020,6,5,2020,1,10,SID_ODE_N1000,XX,XXX,1000,Artificialia,73,12,324,0,664
07/05/2020,7,5,2020,1,10,SID_ODE_N1000,XX,XXX,1000,Artificialia,74,11,315,0,674
08/05/2020,8,5,2020,1,9,SID_ODE_N1000,XX,XXX,1000,Artificialia,75,10,307,0,683
09/05/2020,9,5,2020,0,9,SID_ODE_N1000,XX,XXX,1000,Artificialia,76,10,298,0,692
10/05/2020,10,5,2020,1,9,SID_ODE_N1000,XX,XXX,1000,Artificialia,77,9,290,0,701
11/05/2020,11,5,2020,0,8,SID_ODE_N1000,XX,XXX,1000,Artificialia,78,9,282,0,709
12/05/2020,12,5,2020,1,9,SID_ODE_N1000,XX,XXX,1000,Artificialia,79,8,274,0,718
13/05/2020,13,5,2020,0,8,SID_ODE_N1000,XX,XXX,1000,Artificialia,80,8,266,0,726
14/05/2020,14,5,2020,1,8,SID_ODE_N1000,XX,XXX,1000,Artificialia,81,7,259,0,734
15/05/2020,15,5,2020,0,7,SID_ODE_N1000,XX,XXX,1000,Artificialia,82,7,252,0,741
16/05/2020,16,5,2020,0,7,SID_ODE_N1000,XX,XXX,1000,Artificialia,83,7,245,0,748
17/05/2020,17,5,2020,1,8,SID_ODE_N1000,XX,XXX,1000,Artificialia,84,6,238,0,756
18/05/2020,18,5,2020,0,7,SID_ODE_N1000,XX,XXX,1000,Artificialia,85,6,231,0,763
19/05/2020,19,5,2020,0,7,SID_ODE_N1000,XX,XXX,1000,Artificialia,86,6,224,0,770
20/05/2020,20,5,2020,0,6,SID_ODE_N1000,XX,XXX,1000,Artificialia,87,6,218,0,776
21/05/2020,21,5,2020,1,7,SID_ODE_N1000,XX,XXX,1000,Artificialia,88,5,212,0,783
22/05/2020,22,5,2020,0,6,SID_ODE_N1000,XX,XXX,1000,Artificialia,89,5,206,0,789
23/05/2020,23,5,2020,0,6,SID_ODE_N1000,XX,XXX,1000,Artificialia,90,5,200,0,795
24/05/2020,24,5,2020,0,6,SID_ODE_N1000,XX,XXX,1000,Artificialia,91,5,194,0,801
25/05/2020,25,5,2020,0,5,SID_ODE_N1000,XX,XXX,1000,Artificialia,92,5,189,0,806
26/05/2020,26,5,2020,1,7,SID_ODE_N1000,XX,XXX,1000,Artificialia,93,4,183,0,813
27/05/2020,27,5,2020,0,5,SID_ODE_N1000,XX,XXX,1000,Artificialia,94,4,178,0,818
28/05/2020,28,5,2020,0,5,SID_ODE_N1000,XX,XXX,1000,Artificialia,95,4,173,0,823
29/05/2020,29,5,2020,0,5,SID_ODE_N1000,XX,XXX,1000,Artificialia,96,4,168,0,828
30/05/2020,30,5,2020,0,5,SID_ODE_N1000,XX,XXX,1000,Artificialia,97,4,163,0,833
31/05/2020,31,5,2020,0,5,SID_ODE_N1000,XX,XXX,1000,Artificialia,98,4,158,0,838
01/06/2020,1,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,99,4,154,0,842
02/06/2020,2,6,2020,1,6,SID_ODE_N1000,XX,XXX,1000,Artificialia,100,3,149,0,848
03/06/2020,3,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,101,3,145,0,852
04/06/2020,4,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,102,3,141,0,856
05/06/2020,5,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,103,3,137,0,860
06/06/2020,6,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,104,3,133,0,864
07/06/2020,7,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,105,3,129,0,868
08/06/2020,8,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,106,3,125,0,872
09/06/2020,9,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,107,3,121,0,876
10/06/2020,10,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,108,3,118,0,879
11/06/2020,11,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,109,3,115,0,882
12/06/2020,12,6,2020,0,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,110,3,111,0,886
13/06/2020,13,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,111,3,108,0,889
14/06/2020,14,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,112,3,105,0,892
15/06/2020,15,6,2020,1,4,SID_ODE_N1000,XX,XXX,1000,Artificialia,113,2,102,0,896
16/06/2020,16,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,114,2,99,0,899
17/06/2020,17,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,115,2,96,0,902
18/06/2020,18,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,116,2,93,0,905
19/06/2020,19,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,117,2,90,0,908
20/06/2020,20,6,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,118,2,88,0,910
21/06/2020,21,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,119,2,85,0,913
22/06/2020,22,6,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,120,2,83,0,915
23/06/2020,23,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,121,2,80,0,918
24/06/2020,24,6,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,122,2,78,0,920
25/06/2020,25,6,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,123,2,76,0,922
26/06/2020,26,6,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,124,2,74,0,924
27/06/2020,27,6,2020,0,3,SID_ODE_N1000,XX,XXX,1000,Artificialia,125,2,71,0,927
28/06/2020,28,6,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,126,2,69,0,929
29/06/2020,29,6,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,127,2,67,0,931
30/06/2020,30,6,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,128,2,65,0,933
01/07/2020,1,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,129,2,63,0,935
02/07/2020,2,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,130,2,62,0,936
03/07/2020,3,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,131,2,60,0,938
04/07/2020,4,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,132,2,58,0,940
05/07/2020,5,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,133,2,56,0,942
06/07/2020,6,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,134,2,55,0,943
07/07/2020,7,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,135,2,53,0,945
08/07/2020,8,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,136,2,52,0,946
09/07/2020,9,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,137,2,50,0,948
10/07/2020,10,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,138,2,49,0,949
11/07/2020,11,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,139,2,47,0,951
12/07/2020,12,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,140,2,46,0,952
13/07/2020,13,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,141,2,44,0,954
14/07/2020,14,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,142,2,43,0,955
15/07/2020,15,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,143,2,42,0,956
16/07/2020,16,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,144,2,41,0,957
17/07/2020,17,7,2020,0,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,145,2,39,0,959
18/07/2020,18,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,146,2,38,0,960
19/07/2020,19,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,147,2,37,0,961
20/07/2020,20,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,148,2,36,0,962
21/07/2020,21,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,149,2,35,0,963
22/07/2020,22,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,150,2,34,0,964
23/07/2020,23,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,151,2,33,0,965
24/07/2020,24,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,152,2,32,0,966
25/07/2020,25,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,153,2,31,0,967
26/07/2020,26,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,154,2,30,0,968
27/07/2020,27,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,155,2,29,0,969
28/07/2020,28,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,156,2,28,0,970
29/07/2020,29,7,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,157,2,28,0,970
30/07/2020,30,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,158,2,27,0,971
31/07/2020,31,7,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,159,2,26,0,972
01/08/2020,1,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,160,2,25,0,973
02/08/2020,2,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,161,2,25,0,973
03/08/2020,3,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,162,2,24,0,974
04/08/2020,4,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,163,2,23,0,975
05/08/2020,5,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,164,2,22,0,976
06/08/2020,6,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,165,2,22,0,976
07/08/2020,7,8,2020,1,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,166,1,21,0,978
08/08/2020,8,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,167,1,21,0,978
09/08/2020,9,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,168,1,20,0,979
10/08/2020,10,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,169,1,19,0,980
11/08/2020,11,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,170,1,19,0,980
12/08/2020,12,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,171,1,18,0,981
13/08/2020,13,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,172,1,18,0,981
14/08/2020,14,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,173,1,17,0,982
15/08/2020,15,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,174,1,17,0,982
16/08/2020,16,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,175,1,16,0,983
17/08/2020,17,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,176,1,16,0,983
18/08/2020,18,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,177,1,15,0,984
19/08/2020,19,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,178,1,15,0,984
20/08/2020,20,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,179,1,14,0,985
21/08/2020,21,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,180,1,14,0,985
22/08/2020,22,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,181,1,14,0,985
23/08/2020,23,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,182,1,13,0,986
24/08/2020,24,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,183,1,13,0,986
25/08/2020,25,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,184,1,12,0,987
26/08/2020,26,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,185,1,12,0,987
27/08/2020,27,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,186,1,12,0,987
28/08/2020,28,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,187,1,11,0,988
29/08/2020,29,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,188,1,11,0,988
30/08/2020,30,8,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,189,1,11,0,988
31/08/2020,31,8,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,190,1,10,0,989
01/09/2020,1,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,191,1,10,0,989
02/09/2020,2,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,192,1,10,0,989
03/09/2020,3,9,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,193,1,9,0,990
04/09/2020,4,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,194,1,9,0,990
05/09/2020,5,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,195,1,9,0,990
06/09/2020,6,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,196,1,9,0,990
07/09/2020,7,9,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,197,1,8,0,991
08/09/2020,8,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,198,1,8,0,991
09/09/2020,9,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,199,1,8,0,991
10/09/2020,10,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,200,1,8,0,991
11/09/2020,11,9,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,201,1,7,0,992
12/09/2020,12,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,202,1,7,0,992
13/09/2020,13,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,203,1,7,0,992
14/09/2020,14,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,204,1,7,0,992
15/09/2020,15,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,205,1,7,0,992
16/09/2020,16,9,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,206,1,6,0,993
17/09/2020,17,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,207,1,6,0,993
18/09/2020,18,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,208,1,6,0,993
19/09/2020,19,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,209,1,6,0,993
20/09/2020,20,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,210,1,6,0,993
21/09/2020,21,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,211,1,6,0,993
22/09/2020,22,9,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,212,1,5,0,994
23/09/2020,23,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,213,1,5,0,994
24/09/2020,24,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,214,1,5,0,994
25/09/2020,25,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,215,1,5,0,994
26/09/2020,26,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,216,1,5,0,994
27/09/2020,27,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,217,1,5,0,994
28/09/2020,28,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,218,1,5,0,994
29/09/2020,29,9,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,219,1,4,0,995
30/09/2020,30,9,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,220,1,4,0,995
01/10/2020,1,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,221,1,4,0,995
02/10/2020,2,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,222,1,4,0,995
03/10/2020,3,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,223,1,4,0,995
04/10/2020,4,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,224,1,4,0,995
05/10/2020,5,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,225,1,4,0,995
06/10/2020,6,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,226,1,4,0,995
07/10/2020,7,10,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,227,1,3,0,996
08/10/2020,8,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,228,1,3,0,996
09/10/2020,9,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,229,1,3,0,996
10/10/2020,10,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,230,1,3,0,996
11/10/2020,11,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,231,1,3,0,996
12/10/2020,12,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,232,1,3,0,996
13/10/2020,13,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,233,1,3,0,996
14/10/2020,14,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,234,1,3,0,996
15/10/2020,15,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,235,1,3,0,996
16/10/2020,16,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,236,1,3,0,996
17/10/2020,17,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,237,1,3,0,996
18/10/2020,18,10,2020,0,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,238,1,2,0,997
19/10/2020,19,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,239,1,2,0,997
20/10/2020,20,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,240,1,2,0,997
21/10/2020,21,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,241,1,2,0,997
22/10/2020,22,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,242,1,2,0,997
23/10/2020,23,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,243,1,2,0,997
24/10/2020,24,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,244,1,2,0,997
25/10/2020,25,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,245,1,2,0,997
26/10/2020,26,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,246,1,2,0,997
27/10/2020,27,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,247,1,2,0,997
28/10/2020,28,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,248,1,2,0,997
29/10/2020,29,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,249,1,2,0,997
30/10/2020,30,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,250,1,2,0,997
31/10/2020,31,10,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,251,1,2,0,997
